Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Least Angle Regression,1.8227881997631573e+146,4.8881293118282314e+293,2.2109114210723664e+146,-1.2331051085233904e+293,38.3752,6.477826393357839e+145,0.224,"(4, 9, 16)"
Linear Regression,1.8236,5.4962,2.3262,0.224,0.5658,0.4849,0.221,"(4, 9, 17)"
Extra Trees Regressor,1.8542,5.4987,2.3352,0.2236,0.5699,0.4879,0.284,"(4, 9, 17)"
Light Gradient Boosting Machine,1.8993,5.9344,2.4252,0.1561,0.5778,0.493,0.252,"(4, 9, 17)"
Random Forest Regressor,1.9346,5.8678,2.4105,0.175,0.5912,0.5242,0.368,"(4, 9, 17)"
Gradient Boosting Regressor,1.9748,6.3365,2.5043,0.1045,0.6002,0.5283,0.298,"(4, 9, 17)"
AdaBoost Regressor,2.0443,6.1149,2.4687,0.1339,0.6101,0.5378,0.261,"(4, 9, 17)"
Ridge Regression,2.0463,6.4771,2.5368,0.0734,0.6146,0.5568,0.234,"(4, 9, 17)"
Huber Regressor,2.1315,6.8632,2.6072,0.0237,0.638,0.5697,0.229,"(4, 9, 17)"
Bayesian Ridge,2.1874,7.0544,2.6472,0.0016,0.6434,0.5901,0.235,"(4, 9, 17)"
Elastic Net,2.2122,7.1096,2.6594,-0.0054,0.6493,0.6116,0.229,"(4, 9, 17)"
Lasso Regression,2.2149,7.1212,2.6615,-0.0053,0.6509,0.6132,0.242,"(4, 9, 17)"
Lasso Least Angle Regression,2.2149,7.1212,2.6615,-0.0053,0.6509,0.6132,0.233,"(4, 9, 17)"
Orthogonal Matching Pursuit,2.2194,7.2662,2.6849,-0.0351,0.6488,0.5929,0.23,"(4, 9, 17)"
Dummy Regressor,2.2638,7.4417,2.7179,-0.0417,0.6648,0.6319,0.224,"(4, 9, 17)"
K Neighbors Regressor,2.4147,8.6935,2.928,-0.2207,0.6936,0.6405,0.224,"(4, 9, 17)"
Decision Tree Regressor,2.6376,12.1831,3.4574,-0.7513,0.8377,0.7023,0.224,"(4, 9, 17)"
Passive Aggressive Regressor,3.6511,20.9163,4.4695,-1.9704,1.0265,0.9665,0.226,"(4, 9, 17)"
Least Angle Regression,104361.9538,163337062136.2006,137647.1828,-22538399260.433,5.7144,27140.7537,0.225,"(4, 9, 17)"
Extra Trees Regressor,1.8498,5.4307,2.2981,0.246,0.5636,0.5347,0.295,"(4, 12, 13)"
Light Gradient Boosting Machine,1.8875,5.7087,2.3727,0.1946,0.5795,0.5282,0.268,"(4, 12, 13)"
Random Forest Regressor,1.9571,5.8899,2.4043,0.1695,0.5935,0.5763,0.35,"(4, 12, 13)"
Gradient Boosting Regressor,1.9905,6.3771,2.4988,0.1002,0.5989,0.5725,0.305,"(4, 12, 13)"
Linear Regression,2.1063,6.9604,2.6177,0.023,0.6121,0.6037,0.228,"(4, 12, 13)"
Huber Regressor,2.133,6.9412,2.616,0.007,0.6447,0.6213,0.233,"(4, 12, 13)"
Ridge Regression,2.1484,6.8919,2.6052,0.019,0.6382,0.6203,0.228,"(4, 12, 13)"
AdaBoost Regressor,2.1492,6.9462,2.6232,0.0205,0.6278,0.6019,0.264,"(4, 12, 13)"
Orthogonal Matching Pursuit,2.1595,6.7732,2.5871,0.0424,0.6413,0.6229,0.231,"(4, 12, 13)"
Bayesian Ridge,2.2274,7.155,2.663,-0.0105,0.6506,0.6509,0.23,"(4, 12, 13)"
Elastic Net,2.2491,7.1375,2.6621,-0.0077,0.6496,0.669,0.228,"(4, 12, 13)"
Lasso Regression,2.2622,7.2125,2.676,-0.0179,0.6527,0.6758,0.228,"(4, 12, 13)"
Lasso Least Angle Regression,2.2622,7.2125,2.676,-0.0179,0.6527,0.6758,0.232,"(4, 12, 13)"
Dummy Regressor,2.3584,7.5301,2.7342,-0.0612,0.6609,0.7161,0.235,"(4, 12, 13)"
Decision Tree Regressor,2.4793,10.7793,3.2577,-0.5412,0.7466,0.7466,0.23,"(4, 12, 13)"
K Neighbors Regressor,2.4822,8.8086,2.9609,-0.2515,0.6953,0.7288,0.227,"(4, 12, 13)"
Passive Aggressive Regressor,3.9957,25.8757,4.9039,-2.837,0.9447,1.2417,0.231,"(4, 12, 13)"
Least Angle Regression,25459.4293,5863098399.0693,32613.617,-867435516.6227,4.3132,5500.5244,0.229,"(4, 12, 13)"
Extra Trees Regressor,1.8025,5.1678,2.2616,0.1994,0.5478,0.4603,0.284,"(4, 12, 15)"
Light Gradient Boosting Machine,1.8241,5.3833,2.3079,0.1622,0.5502,0.4797,0.245,"(4, 12, 15)"
Random Forest Regressor,1.8653,5.5783,2.3533,0.1414,0.5638,0.4823,0.347,"(4, 12, 15)"
Linear Regression,1.8832,5.9359,2.4249,0.073,0.5586,0.4696,0.231,"(4, 12, 15)"
Gradient Boosting Regressor,1.9194,5.8177,2.4043,0.0997,0.5686,0.4977,0.295,"(4, 12, 15)"
Ridge Regression,1.9554,5.9863,2.442,0.0735,0.5795,0.5176,0.242,"(4, 12, 15)"
Huber Regressor,1.9854,6.1997,2.4799,0.0396,0.5857,0.5213,0.234,"(4, 12, 15)"
Orthogonal Matching Pursuit,2.0092,6.0902,2.4592,0.0665,0.5847,0.5339,0.231,"(4, 12, 15)"
AdaBoost Regressor,2.0157,6.2768,2.4914,0.0493,0.5905,0.5311,0.265,"(4, 12, 15)"
Bayesian Ridge,2.0542,6.3265,2.5066,0.0341,0.5933,0.556,0.232,"(4, 12, 15)"
Elastic Net,2.0725,6.4055,2.5187,0.0266,0.5946,0.5697,0.232,"(4, 12, 15)"
Lasso Regression,2.0812,6.4755,2.5326,0.0155,0.5976,0.5732,0.231,"(4, 12, 15)"
Lasso Least Angle Regression,2.0812,6.4755,2.5326,0.0155,0.5976,0.5732,0.233,"(4, 12, 15)"
Dummy Regressor,2.1661,6.8677,2.6067,-0.0345,0.6116,0.609,0.232,"(4, 12, 15)"
K Neighbors Regressor,2.3087,7.9546,2.8157,-0.2285,0.6381,0.6103,0.232,"(4, 12, 15)"
Decision Tree Regressor,2.4139,9.929,3.105,-0.548,0.7121,0.616,0.234,"(4, 12, 15)"
Passive Aggressive Regressor,3.1953,16.6008,3.9464,-1.588,0.7532,0.9327,0.232,"(4, 12, 15)"
Least Angle Regression,3.523327306214807e+134,1.768386584582019e+270,4.205218882034584e+134,-3.8892351001116574e+269,38.0462,9.501276025883689e+133,0.232,"(4, 12, 15)"
Extra Trees Regressor,1.8851,5.5189,2.3404,0.26,0.6097,0.4818,0.299,"(4, 12, 16)"
Random Forest Regressor,1.9699,5.9914,2.4377,0.1966,0.6343,0.5061,0.36,"(4, 12, 16)"
Light Gradient Boosting Machine,1.9738,6.1187,2.464,0.1775,0.6251,0.5096,0.24,"(4, 12, 16)"
Linear Regression,1.9865,6.3109,2.5037,0.1536,0.6353,0.5239,0.236,"(4, 12, 16)"
Gradient Boosting Regressor,2.0024,6.2503,2.4973,0.1591,0.6406,0.5254,0.307,"(4, 12, 16)"
Ridge Regression,2.0316,6.4309,2.5301,0.1382,0.6593,0.5346,0.232,"(4, 12, 16)"
AdaBoost Regressor,2.1168,6.598,2.5651,0.1134,0.6586,0.5523,0.272,"(4, 12, 16)"
Orthogonal Matching Pursuit,2.1327,6.7128,2.5872,0.0995,0.6745,0.5769,0.25,"(4, 12, 16)"
Bayesian Ridge,2.1362,6.6997,2.5841,0.1002,0.6751,0.5815,0.24,"(4, 12, 16)"
Huber Regressor,2.1376,6.8569,2.6139,0.0779,0.6771,0.5735,0.243,"(4, 12, 16)"
Elastic Net,2.2491,7.1596,2.6731,0.038,0.6923,0.6358,0.236,"(4, 12, 16)"
Lasso Regression,2.2563,7.1782,2.677,0.0358,0.6938,0.6394,0.234,"(4, 12, 16)"
Lasso Least Angle Regression,2.2563,7.1781,2.677,0.0358,0.6938,0.6394,0.238,"(4, 12, 16)"
Dummy Regressor,2.3303,7.5843,2.7523,-0.0165,0.7076,0.6732,0.242,"(4, 12, 16)"
K Neighbors Regressor,2.4869,8.7588,2.9523,-0.1712,0.7281,0.6811,0.236,"(4, 12, 16)"
Decision Tree Regressor,2.5497,11.2073,3.3366,-0.5091,0.8438,0.7052,0.241,"(4, 12, 16)"
Passive Aggressive Regressor,3.6161,21.4304,4.4435,-1.9031,0.9404,1.0233,0.238,"(4, 12, 16)"
Least Angle Regression,26316.5863,4791142727.6199,33933.0039,-696101449.5934,5.9712,6719.8882,0.239,"(4, 12, 16)"
Extra Trees Regressor,1.9675,5.7867,2.3824,0.2597,0.6053,0.5217,0.301,"(4, 12, 17)"
Light Gradient Boosting Machine,2.0554,6.2443,2.4806,0.1988,0.6263,0.5562,0.261,"(4, 12, 17)"
Random Forest Regressor,2.0882,6.3206,2.4939,0.1931,0.6268,0.5561,0.376,"(4, 12, 17)"
Gradient Boosting Regressor,2.1181,6.5063,2.5323,0.1611,0.6292,0.591,0.306,"(4, 12, 17)"
Linear Regression,2.1372,7.2581,2.6524,0.076,0.6306,0.5568,0.237,"(4, 12, 17)"
Ridge Regression,2.1938,7.1019,2.6438,0.097,0.6482,0.5858,0.236,"(4, 12, 17)"
AdaBoost Regressor,2.2215,6.9839,2.6243,0.1113,0.6515,0.5877,0.273,"(4, 12, 17)"
Orthogonal Matching Pursuit,2.2419,7.2062,2.6629,0.0856,0.6576,0.6029,0.242,"(4, 12, 17)"
Huber Regressor,2.2468,7.4348,2.7051,0.0527,0.662,0.5909,0.241,"(4, 12, 17)"
Bayesian Ridge,2.2682,7.2508,2.6701,0.0849,0.6597,0.6099,0.24,"(4, 12, 17)"
Elastic Net,2.3256,7.446,2.708,0.0616,0.6687,0.6315,0.24,"(4, 12, 17)"
Lasso Regression,2.342,7.5286,2.723,0.0519,0.6723,0.6389,0.241,"(4, 12, 17)"
Lasso Least Angle Regression,2.342,7.5286,2.723,0.0519,0.6723,0.6389,0.24,"(4, 12, 17)"
K Neighbors Regressor,2.4102,8.4517,2.8868,-0.0856,0.7008,0.6544,0.237,"(4, 12, 17)"
Dummy Regressor,2.4223,8.0383,2.821,-0.0197,0.6942,0.6697,0.237,"(4, 12, 17)"
Decision Tree Regressor,2.8136,12.9329,3.5611,-0.6896,0.89,0.737,0.236,"(4, 12, 17)"
Passive Aggressive Regressor,4.3515,31.8103,5.3471,-3.039,0.9995,1.3573,0.239,"(4, 12, 17)"
Least Angle Regression,56580.0397,13445661123.8643,72355.566,-1887851206.8857,6.4929,16696.1052,0.239,"(4, 12, 17)"
Extra Trees Regressor,1.5893,4.3523,2.0795,0.2537,0.5319,0.424,0.311,"(4, 13, 15)"
Random Forest Regressor,1.7106,4.8069,2.1862,0.1797,0.5504,0.463,0.384,"(4, 13, 15)"
Light Gradient Boosting Machine,1.7468,5.1638,2.2553,0.1139,0.5596,0.4646,0.263,"(4, 13, 15)"
Gradient Boosting Regressor,1.7589,5.1264,2.2569,0.1218,0.5595,0.484,0.311,"(4, 13, 15)"
AdaBoost Regressor,1.7903,5.2771,2.2846,0.1026,0.563,0.4784,0.276,"(4, 13, 15)"
Linear Regression,1.8132,5.2916,2.2898,0.08,0.5637,0.4891,0.238,"(4, 13, 15)"
Huber Regressor,1.848,5.6691,2.373,0.0267,0.5776,0.5136,0.243,"(4, 13, 15)"
Ridge Regression,1.8504,5.5606,2.3508,0.0427,0.5809,0.5124,0.235,"(4, 13, 15)"
Bayesian Ridge,1.9062,5.7615,2.3918,0.0211,0.5886,0.5339,0.244,"(4, 13, 15)"
Orthogonal Matching Pursuit,1.9191,5.7901,2.3983,0.0148,0.5907,0.5373,0.24,"(4, 13, 15)"
Elastic Net,1.9523,5.893,2.4195,-0.0009,0.5911,0.5502,0.243,"(4, 13, 15)"
Lasso Regression,1.9667,5.9472,2.4309,-0.0099,0.5933,0.5579,0.236,"(4, 13, 15)"
Lasso Least Angle Regression,1.9667,5.9472,2.4309,-0.0099,0.5933,0.5579,0.243,"(4, 13, 15)"
Dummy Regressor,2.0188,6.1368,2.4681,-0.0336,0.6004,0.5797,0.241,"(4, 13, 15)"
K Neighbors Regressor,2.0748,6.6503,2.5619,-0.1295,0.6111,0.567,0.244,"(4, 13, 15)"
Decision Tree Regressor,2.1608,8.4763,2.8937,-0.4297,0.7292,0.6128,0.261,"(4, 13, 15)"
Passive Aggressive Regressor,2.4577,9.6449,3.0367,-0.6162,0.6675,0.6672,0.245,"(4, 13, 15)"
Least Angle Regression,58130.9938,36237279946.9956,85755.5134,-6660691688.4053,5.6888,20843.2541,0.243,"(4, 13, 15)"
Extra Trees Regressor,1.4815,3.8463,1.9312,0.3693,0.4986,0.4147,0.303,"(4, 13, 16)"
Gradient Boosting Regressor,1.6064,4.3049,2.0429,0.2898,0.5234,0.4551,0.323,"(4, 13, 16)"
Light Gradient Boosting Machine,1.6124,4.3537,2.0614,0.2795,0.5291,0.451,0.262,"(4, 13, 16)"
Random Forest Regressor,1.6229,4.3952,2.0598,0.2816,0.5382,0.4622,0.391,"(4, 13, 16)"
Linear Regression,1.769,4.94,2.1888,0.1779,0.5651,0.5003,0.241,"(4, 13, 16)"
Ridge Regression,1.8183,5.1826,2.2454,0.1305,0.5824,0.5244,0.246,"(4, 13, 16)"
AdaBoost Regressor,1.8435,5.1264,2.2427,0.1435,0.574,0.529,0.278,"(4, 13, 16)"
Bayesian Ridge,1.8548,5.2753,2.2712,0.1146,0.594,0.5464,0.243,"(4, 13, 16)"
Huber Regressor,1.8643,5.4348,2.3008,0.0824,0.5948,0.551,0.25,"(4, 13, 16)"
Orthogonal Matching Pursuit,1.8972,5.3555,2.2909,0.102,0.6023,0.5626,0.249,"(4, 13, 16)"
Elastic Net,2.0127,5.8816,2.4119,0.018,0.6206,0.5992,0.236,"(4, 13, 16)"
Lasso Regression,2.0206,5.9123,2.4181,0.015,0.6221,0.6039,0.243,"(4, 13, 16)"
Lasso Least Angle Regression,2.0206,5.9123,2.4181,0.015,0.6221,0.6039,0.243,"(4, 13, 16)"
Decision Tree Regressor,2.0377,8.3999,2.8036,-0.3738,0.7198,0.5934,0.24,"(4, 13, 16)"
Dummy Regressor,2.0672,6.2082,2.48,-0.0332,0.632,0.6238,0.247,"(4, 13, 16)"
K Neighbors Regressor,2.1135,6.6804,2.5619,-0.1091,0.6424,0.6151,0.253,"(4, 13, 16)"
Passive Aggressive Regressor,2.6405,11.2726,3.2793,-0.9012,0.7343,0.8628,0.243,"(4, 13, 16)"
Least Angle Regression,1.2709766926510988e+83,2.6050795982730644e+167,1.614025897646337e+83,-5.50943727049917e+166,24.8827,3.444678035753427e+82,0.249,"(4, 13, 16)"
Extra Trees Regressor,1.7565,5.025,2.2199,0.2593,0.5722,0.4918,0.313,"(4, 13, 17)"
Random Forest Regressor,1.8491,5.4319,2.3165,0.2023,0.5912,0.5236,0.397,"(4, 13, 17)"
Light Gradient Boosting Machine,1.8815,5.6318,2.36,0.1724,0.5967,0.5009,0.268,"(4, 13, 17)"
Gradient Boosting Regressor,1.9069,5.8853,2.4123,0.133,0.6068,0.5441,0.319,"(4, 13, 17)"
Linear Regression,1.9582,6.0713,2.4508,0.1104,0.6065,0.5295,0.247,"(4, 13, 17)"
Ridge Regression,2.0189,6.5548,2.5454,0.0461,0.6442,0.5536,0.247,"(4, 13, 17)"
Huber Regressor,2.0333,6.6072,2.554,0.0336,0.651,0.5574,0.253,"(4, 13, 17)"
AdaBoost Regressor,2.0418,6.1664,2.4672,0.1,0.6176,0.5606,0.284,"(4, 13, 17)"
Orthogonal Matching Pursuit,2.1009,6.636,2.5635,0.0348,0.6521,0.5933,0.248,"(4, 13, 17)"
Bayesian Ridge,2.1088,6.7389,2.5865,0.0184,0.655,0.5978,0.255,"(4, 13, 17)"
Elastic Net,2.16,6.8111,2.6013,0.0106,0.6552,0.6206,0.247,"(4, 13, 17)"
Lasso Regression,2.161,6.8195,2.6039,0.0086,0.6566,0.6216,0.249,"(4, 13, 17)"
Lasso Least Angle Regression,2.161,6.8195,2.6039,0.0086,0.6566,0.6216,0.246,"(4, 13, 17)"
Dummy Regressor,2.1947,7.0083,2.6431,-0.0225,0.6655,0.6356,0.237,"(4, 13, 17)"
K Neighbors Regressor,2.2594,7.8758,2.7971,-0.1543,0.6851,0.6373,0.25,"(4, 13, 17)"
Decision Tree Regressor,2.552,11.87,3.4405,-0.7495,0.828,0.7814,0.244,"(4, 13, 17)"
Passive Aggressive Regressor,3.6873,22.0261,4.5032,-2.1691,0.9029,0.925,0.247,"(4, 13, 17)"
Least Angle Regression,144938.8342,322235592827.7052,191861.265,-45857995628.1285,5.5746,43199.6066,0.25,"(4, 13, 17)"
Extra Trees Regressor,1.672,4.5917,2.1298,0.2784,0.529,0.3962,0.302,"(4, 15, 16)"
Light Gradient Boosting Machine,1.7156,4.8405,2.1901,0.2276,0.5339,0.398,0.272,"(4, 15, 16)"
Random Forest Regressor,1.7726,4.9858,2.2191,0.2159,0.5508,0.4222,0.36,"(4, 15, 16)"
Gradient Boosting Regressor,1.8023,5.2419,2.2729,0.1744,0.5585,0.4241,0.323,"(4, 15, 16)"
AdaBoost Regressor,1.8792,5.7132,2.3811,0.0899,0.5809,0.4428,0.284,"(4, 15, 16)"
Linear Regression,1.908,5.9489,2.4155,0.062,0.573,0.4486,0.251,"(4, 15, 16)"
Ridge Regression,1.9136,6.0218,2.4386,0.0533,0.5898,0.4539,0.247,"(4, 15, 16)"
Huber Regressor,1.9208,6.0355,2.4355,0.0516,0.594,0.4704,0.249,"(4, 15, 16)"
Orthogonal Matching Pursuit,1.9703,6.1476,2.4704,0.0264,0.6016,0.4867,0.248,"(4, 15, 16)"
Bayesian Ridge,1.9988,6.2285,2.4862,0.0153,0.6001,0.4921,0.248,"(4, 15, 16)"
Lasso Regression,2.0251,6.2778,2.4984,0.0053,0.603,0.509,0.249,"(4, 15, 16)"
Lasso Least Angle Regression,2.0251,6.2778,2.4984,0.0053,0.603,0.509,0.245,"(4, 15, 16)"
Elastic Net,2.0264,6.2897,2.5007,0.0031,0.6032,0.509,0.248,"(4, 15, 16)"
Dummy Regressor,2.1158,6.7114,2.5833,-0.0609,0.6137,0.5517,0.253,"(4, 15, 16)"
K Neighbors Regressor,2.2364,7.7248,2.7689,-0.2257,0.6438,0.5708,0.251,"(4, 15, 16)"
Decision Tree Regressor,2.3485,9.9485,3.1064,-0.5444,0.7571,0.5447,0.251,"(4, 15, 16)"
Passive Aggressive Regressor,4.0967,28.296,5.0975,-3.4912,0.847,1.1435,0.256,"(4, 15, 16)"
Least Angle Regression,1.718314962793666e+225,inf,inf,-inf,58.676,4.206020522533867e+224,0.249,"(4, 15, 16)"
Extra Trees Regressor,1.7845,5.0621,2.2389,0.2654,0.5636,0.4282,0.315,"(4, 15, 17)"
Random Forest Regressor,1.8661,5.4935,2.3345,0.2025,0.582,0.4551,0.387,"(4, 15, 17)"
Light Gradient Boosting Machine,1.8758,5.6541,2.3656,0.1776,0.5804,0.4494,0.269,"(4, 15, 17)"
Gradient Boosting Regressor,1.8767,5.639,2.3651,0.1741,0.5897,0.4548,0.321,"(4, 15, 17)"
Ridge Regression,1.9983,6.2917,2.4976,0.0851,0.6054,0.4819,0.262,"(4, 15, 17)"
Huber Regressor,2.028,6.5811,2.559,0.0371,0.6136,0.4806,0.251,"(4, 15, 17)"
AdaBoost Regressor,2.0333,6.3168,2.5062,0.0803,0.6038,0.4767,0.289,"(4, 15, 17)"
Bayesian Ridge,2.066,6.5697,2.554,0.0438,0.6181,0.5056,0.25,"(4, 15, 17)"
Orthogonal Matching Pursuit,2.0685,6.652,2.5726,0.0298,0.62,0.5043,0.249,"(4, 15, 17)"
Linear Regression,2.0799,6.6244,2.5531,0.046,0.6009,0.4914,0.251,"(4, 15, 17)"
Elastic Net,2.1073,6.7386,2.5871,0.0203,0.6245,0.5239,0.255,"(4, 15, 17)"
Lasso Regression,2.1121,6.7872,2.5968,0.0137,0.6262,0.526,0.267,"(4, 15, 17)"
Lasso Least Angle Regression,2.1121,6.7872,2.5968,0.0137,0.6262,0.526,0.253,"(4, 15, 17)"
Dummy Regressor,2.1534,7.0617,2.6492,-0.0252,0.6349,0.5495,0.249,"(4, 15, 17)"
K Neighbors Regressor,2.3038,8.201,2.8517,-0.1993,0.6645,0.5644,0.253,"(4, 15, 17)"
Decision Tree Regressor,2.486,10.5243,3.2127,-0.527,0.7846,0.6657,0.253,"(4, 15, 17)"
Passive Aggressive Regressor,3.6121,22.8464,4.544,-2.4182,0.8638,1.0416,0.256,"(4, 15, 17)"
Least Angle Regression,2605396.4465,35183370536042.363,3483792.6998,-4923553885075.202,9.0066,715953.6799,0.251,"(4, 15, 17)"
Extra Trees Regressor,1.6636,4.2906,2.0629,0.3532,0.5337,0.4417,0.313,"(4, 16, 17)"
Light Gradient Boosting Machine,1.7122,4.5444,2.1204,0.3148,0.5403,0.4594,0.279,"(4, 16, 17)"
Random Forest Regressor,1.7385,4.569,2.1285,0.3158,0.5499,0.4669,0.391,"(4, 16, 17)"
Gradient Boosting Regressor,1.7589,4.6763,2.1541,0.3004,0.5483,0.4694,0.33,"(4, 16, 17)"
Linear Regression,1.8063,5.2196,2.2701,0.1918,0.5692,0.4741,0.252,"(4, 16, 17)"
AdaBoost Regressor,1.9106,5.262,2.2881,0.2083,0.5826,0.5006,0.291,"(4, 16, 17)"
Ridge Regression,1.933,5.6455,2.3686,0.1465,0.6012,0.5203,0.25,"(4, 16, 17)"
Huber Regressor,1.9635,5.7614,2.3902,0.1282,0.6048,0.5244,0.256,"(4, 16, 17)"
Bayesian Ridge,2.0036,5.7977,2.4007,0.1276,0.6113,0.5453,0.253,"(4, 16, 17)"
Orthogonal Matching Pursuit,2.0447,5.9561,2.4324,0.1047,0.6186,0.5636,0.255,"(4, 16, 17)"
Elastic Net,2.1307,6.4154,2.524,0.0485,0.6394,0.5988,0.268,"(4, 16, 17)"
Lasso Regression,2.1338,6.437,2.5282,0.046,0.6406,0.6008,0.253,"(4, 16, 17)"
Lasso Least Angle Regression,2.1338,6.437,2.5282,0.046,0.6406,0.6008,0.255,"(4, 16, 17)"
Decision Tree Regressor,2.1627,8.0685,2.8159,-0.207,0.7022,0.6338,0.256,"(4, 16, 17)"
Dummy Regressor,2.1843,6.9011,2.6169,-0.0187,0.6568,0.6245,0.252,"(4, 16, 17)"
K Neighbors Regressor,2.3379,8.0487,2.8279,-0.2024,0.6817,0.6148,0.259,"(4, 16, 17)"
Passive Aggressive Regressor,2.9695,13.8135,3.6752,-1.0699,0.8026,0.8417,0.258,"(4, 16, 17)"
Least Angle Regression,16780.2659,2242666459.6446,20742.1874,-436843457.8351,5.2529,4075.8323,0.272,"(4, 16, 17)"
Extra Trees Regressor,1.6685,4.3644,2.0796,0.3859,0.5401,0.4725,0.315,"(6, 9, 12)"
Random Forest Regressor,1.7749,4.9028,2.2062,0.3033,0.569,0.4983,0.375,"(6, 9, 12)"
Light Gradient Boosting Machine,1.7924,5.0214,2.2293,0.2893,0.5733,0.4887,0.275,"(6, 9, 12)"
Linear Regression,1.8564,5.5541,2.3332,0.1978,0.5946,0.5212,0.258,"(6, 9, 12)"
Gradient Boosting Regressor,1.8763,5.5515,2.3443,0.2159,0.5941,0.5129,0.33,"(6, 9, 12)"
AdaBoost Regressor,1.9894,5.8975,2.4162,0.1643,0.6097,0.5448,0.292,"(6, 9, 12)"
Ridge Regression,2.0652,6.519,2.5415,0.0771,0.635,0.591,0.269,"(6, 9, 12)"
Huber Regressor,2.2279,7.2641,2.6857,-0.0292,0.6657,0.6502,0.26,"(6, 9, 12)"
Orthogonal Matching Pursuit,2.2291,7.2153,2.6746,-0.0168,0.6708,0.6768,0.264,"(6, 9, 12)"
Bayesian Ridge,2.2574,7.3422,2.6946,-0.0224,0.6759,0.6649,0.26,"(6, 9, 12)"
Elastic Net,2.3055,7.3983,2.7028,-0.0285,0.6817,0.6959,0.267,"(6, 9, 12)"
Lasso Regression,2.3131,7.4209,2.7061,-0.0293,0.6828,0.6985,0.257,"(6, 9, 12)"
Lasso Least Angle Regression,2.3131,7.4209,2.7061,-0.0293,0.6828,0.6985,0.256,"(6, 9, 12)"
Decision Tree Regressor,2.3163,9.2705,3.0197,-0.3867,0.734,0.7005,0.262,"(6, 9, 12)"
Dummy Regressor,2.3542,7.6223,2.7385,-0.0478,0.6896,0.7124,0.262,"(6, 9, 12)"
K Neighbors Regressor,2.5117,9.1454,3.011,-0.3002,0.7344,0.7544,0.268,"(6, 9, 12)"
Passive Aggressive Regressor,3.3971,17.5884,4.0593,-1.4228,1.0111,0.8187,0.256,"(6, 9, 12)"
Least Angle Regression,113097.5585,114567038934.7828,159668.0455,-23151155844.3914,5.927,38316.3584,0.261,"(6, 9, 12)"
Extra Trees Regressor,1.4307,3.4116,1.8308,0.4469,0.5254,0.406,0.329,"(6, 9, 13)"
Light Gradient Boosting Machine,1.5631,4.0684,2.0062,0.3286,0.5575,0.4411,0.274,"(6, 9, 13)"
Random Forest Regressor,1.5974,4.1713,2.0283,0.3263,0.5757,0.4454,0.379,"(6, 9, 13)"
Gradient Boosting Regressor,1.6403,4.536,2.1094,0.2727,0.5787,0.4624,0.332,"(6, 9, 13)"
Linear Regression,1.7531,5.0451,2.2349,0.161,0.6023,0.5212,0.259,"(6, 9, 13)"
AdaBoost Regressor,1.8144,4.8769,2.1964,0.2082,0.6108,0.4914,0.294,"(6, 9, 13)"
Ridge Regression,1.8807,5.5276,2.3307,0.1085,0.6414,0.537,0.272,"(6, 9, 13)"
Huber Regressor,1.9626,5.988,2.4198,0.0399,0.6565,0.5687,0.262,"(6, 9, 13)"
Orthogonal Matching Pursuit,2.0146,6.1694,2.4631,0.0035,0.6665,0.5813,0.266,"(6, 9, 13)"
Decision Tree Regressor,2.0206,7.9559,2.7569,-0.2612,0.7151,0.62,0.272,"(6, 9, 13)"
Bayesian Ridge,2.0378,6.2733,2.4941,-0.0201,0.6739,0.5955,0.258,"(6, 9, 13)"
Dummy Regressor,2.0609,6.3617,2.5108,-0.028,0.6781,0.6032,0.268,"(6, 9, 13)"
Lasso Regression,2.0705,6.3452,2.5089,-0.0291,0.6769,0.6085,0.263,"(6, 9, 13)"
Lasso Least Angle Regression,2.0705,6.3452,2.5089,-0.0291,0.6769,0.6085,0.258,"(6, 9, 13)"
Elastic Net,2.0726,6.329,2.5058,-0.0276,0.6756,0.6103,0.263,"(6, 9, 13)"
K Neighbors Regressor,2.1906,7.3447,2.7009,-0.2131,0.7153,0.6246,0.268,"(6, 9, 13)"
Passive Aggressive Regressor,3.3071,16.3517,3.9811,-1.7318,1.08,0.8225,0.262,"(6, 9, 13)"
Least Angle Regression,539934.519,3495465950296.456,677263.7243,-436376404355.7286,5.9458,143860.2841,0.267,"(6, 9, 13)"
Extra Trees Regressor,1.5474,4.085,1.9964,0.2897,0.4968,0.4202,0.32,"(6, 9, 15)"
Random Forest Regressor,1.6291,4.4549,2.0875,0.2254,0.5144,0.4515,0.38,"(6, 9, 15)"
Light Gradient Boosting Machine,1.6732,4.5972,2.1224,0.1882,0.5178,0.4527,0.283,"(6, 9, 15)"
Gradient Boosting Regressor,1.6936,4.7759,2.162,0.1638,0.5157,0.457,0.333,"(6, 9, 15)"
Ridge Regression,1.7914,5.2681,2.2838,0.064,0.5539,0.5085,0.265,"(6, 9, 15)"
AdaBoost Regressor,1.8082,5.121,2.2419,0.1061,0.5467,0.5048,0.299,"(6, 9, 15)"
Linear Regression,1.8317,5.356,2.2947,0.0597,0.5536,0.496,0.273,"(6, 9, 15)"
Huber Regressor,1.8826,5.6462,2.363,0.0002,0.5641,0.5381,0.266,"(6, 9, 15)"
Orthogonal Matching Pursuit,1.9258,5.8034,2.3969,-0.0273,0.5743,0.5565,0.264,"(6, 9, 15)"
