Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects,Sensor,Combinations
AdaBoost Regressor,1.9537,5.438,2.3289,0.0553,0.7638,0.8114,0.268,"(3, 4, 15)",trunk,3
Elastic Net,1.9642,5.6734,2.3802,0.0139,0.7355,0.7103,0.205,"(3, 4, 15)",trunk,3
Lasso Regression,1.9814,5.7112,2.3881,0.0074,0.7388,0.7211,0.253,"(3, 4, 15)",trunk,3
Lasso Least Angle Regression,1.9814,5.7112,2.3881,0.0074,0.7388,0.7211,0.252,"(3, 4, 15)",trunk,3
Dummy Regressor,1.9984,5.7695,2.4003,-0.0028,0.7427,0.7318,0.239,"(3, 4, 15)",trunk,3
Passive Aggressive Regressor,2.7314,10.9718,3.2797,-0.9146,0.9462,1.2686,0.196,"(3, 4, 15)",trunk,3
Least Angle Regression,13.8124,1419.1851,18.0539,-252.3518,1.1684,6.5631,0.211,"(3, 4, 15)",trunk,3
Extra Trees Regressor,1.3499,3.2305,1.7935,0.3943,0.5736,0.4651,0.253,"(3, 4, 16)",trunk,3
Light Gradient Boosting Machine,1.3975,3.4681,1.8578,0.3486,0.5845,0.5088,0.221,"(3, 4, 16)",trunk,3
Random Forest Regressor,1.4221,3.5418,1.8792,0.3355,0.5938,0.4985,0.356,"(3, 4, 16)",trunk,3
Gradient Boosting Regressor,1.4557,3.6164,1.8983,0.3212,0.6059,0.5037,0.292,"(3, 4, 16)",trunk,3
Huber Regressor,1.7681,4.9853,2.2303,0.0643,0.6764,0.5976,0.195,"(3, 4, 16)",trunk,3
Linear Regression,1.7691,4.8054,2.19,0.0978,0.6862,0.6496,0.196,"(3, 4, 16)",trunk,3
Decision Tree Regressor,1.7955,6.7909,2.5991,-0.2761,0.7897,0.7134,0.195,"(3, 4, 16)",trunk,3
Bayesian Ridge,1.7978,4.9207,2.216,0.0763,0.6957,0.6472,0.194,"(3, 4, 16)",trunk,3
Ridge Regression,1.799,4.9215,2.2162,0.0761,0.6959,0.647,0.197,"(3, 4, 16)",trunk,3
AdaBoost Regressor,1.8131,4.8119,2.1912,0.0963,0.7186,0.706,0.255,"(3, 4, 16)",trunk,3
K Neighbors Regressor,1.8742,5.5208,2.3484,-0.039,0.722,0.7052,0.198,"(3, 4, 16)",trunk,3
Orthogonal Matching Pursuit,1.8823,5.2548,2.2904,0.0134,0.716,0.6857,0.195,"(3, 4, 16)",trunk,3
Elastic Net,1.8969,5.2698,2.2939,0.0103,0.7182,0.6944,0.204,"(3, 4, 16)",trunk,3
Lasso Regression,1.9138,5.3095,2.3027,0.0025,0.7216,0.7048,0.194,"(3, 4, 16)",trunk,3
Lasso Least Angle Regression,1.9138,5.3095,2.3027,0.0025,0.7216,0.7048,0.196,"(3, 4, 16)",trunk,3
Dummy Regressor,1.9298,5.3622,2.3143,-0.0076,0.7252,0.715,0.188,"(3, 4, 16)",trunk,3
Passive Aggressive Regressor,2.521,10.9038,3.092,-1.1308,0.8474,1.0845,0.195,"(3, 4, 16)",trunk,3
Least Angle Regression,9.8836,191.8421,13.3171,-35.3944,1.4882,4.9866,0.197,"(3, 4, 16)",trunk,3
Extra Trees Regressor,1.4212,3.4864,1.8622,0.4027,0.594,0.4596,0.271,"(3, 4, 17)",trunk,3
Light Gradient Boosting Machine,1.4305,3.6601,1.9081,0.3725,0.5923,0.4911,0.242,"(3, 4, 17)",trunk,3
Random Forest Regressor,1.473,3.7585,1.9344,0.357,0.6093,0.4831,0.339,"(3, 4, 17)",trunk,3
Gradient Boosting Regressor,1.5577,4.0788,2.0167,0.3011,0.6331,0.5115,0.295,"(3, 4, 17)",trunk,3
Decision Tree Regressor,1.8477,7.1589,2.669,-0.2286,0.7932,0.7174,0.195,"(3, 4, 17)",trunk,3
Linear Regression,1.8745,5.3575,2.311,0.0833,0.7139,0.6463,0.197,"(3, 4, 17)",trunk,3
Huber Regressor,1.8813,5.5951,2.3601,0.0441,0.7054,0.5984,0.2,"(3, 4, 17)",trunk,3
Bayesian Ridge,1.9197,5.4655,2.3338,0.0654,0.728,0.6599,0.191,"(3, 4, 17)",trunk,3
Ridge Regression,1.9202,5.4636,2.3334,0.0657,0.7281,0.6603,0.193,"(3, 4, 17)",trunk,3
K Neighbors Regressor,1.931,5.952,2.4365,-0.0195,0.7394,0.6874,0.207,"(3, 4, 17)",trunk,3
AdaBoost Regressor,1.9729,5.4608,2.3346,0.0624,0.7643,0.7722,0.22,"(3, 4, 17)",trunk,3
Orthogonal Matching Pursuit,1.98,5.7614,2.3974,0.0132,0.7424,0.6913,0.194,"(3, 4, 17)",trunk,3
Elastic Net,1.9888,5.7752,2.4002,0.0111,0.7438,0.6967,0.206,"(3, 4, 17)",trunk,3
Lasso Regression,2.0055,5.8131,2.408,0.0047,0.7467,0.7085,0.196,"(3, 4, 17)",trunk,3
Lasso Least Angle Regression,2.0055,5.8131,2.408,0.0047,0.7467,0.7085,0.266,"(3, 4, 17)",trunk,3
Dummy Regressor,2.0306,5.9015,2.4264,-0.0106,0.7519,0.7258,0.203,"(3, 4, 17)",trunk,3
Passive Aggressive Regressor,2.4652,10.1005,3.1543,-0.7464,0.8662,0.9841,0.199,"(3, 4, 17)",trunk,3
Least Angle Regression,66.3568,71634.9931,87.4848,-13374.7384,1.2605,32.2395,0.252,"(3, 4, 17)",trunk,3
Extra Trees Regressor,1.347,3.0799,1.7529,0.3767,0.562,0.4727,0.307,"(3, 5, 6)",trunk,3
Light Gradient Boosting Machine,1.3951,3.3315,1.8226,0.3263,0.5784,0.5103,0.229,"(3, 5, 6)",trunk,3
Random Forest Regressor,1.4219,3.3811,1.8372,0.3144,0.5835,0.5089,0.372,"(3, 5, 6)",trunk,3
Gradient Boosting Regressor,1.5114,3.7053,1.9237,0.2478,0.6085,0.5341,0.315,"(3, 5, 6)",trunk,3
Linear Regression,1.7363,4.5689,2.1362,0.0739,0.6701,0.6297,0.243,"(3, 5, 6)",trunk,3
Huber Regressor,1.7364,4.7358,2.1747,0.041,0.6604,0.5903,0.216,"(3, 5, 6)",trunk,3
Bayesian Ridge,1.7626,4.6745,2.1608,0.0531,0.6751,0.6401,0.218,"(3, 5, 6)",trunk,3
Ridge Regression,1.7646,4.678,2.1616,0.0525,0.6758,0.6418,0.208,"(3, 5, 6)",trunk,3
Decision Tree Regressor,1.8087,6.7423,2.5921,-0.3676,0.7796,0.7422,0.248,"(3, 5, 6)",trunk,3
K Neighbors Regressor,1.8259,5.2954,2.3001,-0.0749,0.6999,0.6689,0.24,"(3, 5, 6)",trunk,3
Orthogonal Matching Pursuit,1.838,4.9379,2.2206,0.0004,0.6916,0.6863,0.206,"(3, 5, 6)",trunk,3
Elastic Net,1.8473,4.9542,2.2244,-0.0031,0.693,0.6939,0.2,"(3, 5, 6)",trunk,3
Lasso Regression,1.8476,4.9552,2.2246,-0.0033,0.6931,0.6943,0.259,"(3, 5, 6)",trunk,3
Lasso Least Angle Regression,1.8476,4.9552,2.2246,-0.0033,0.6931,0.6943,0.205,"(3, 5, 6)",trunk,3
Dummy Regressor,1.8476,4.9552,2.2246,-0.0033,0.6931,0.6943,0.248,"(3, 5, 6)",trunk,3
AdaBoost Regressor,1.8678,4.8227,2.1949,0.0222,0.7212,0.7812,0.264,"(3, 5, 6)",trunk,3
Passive Aggressive Regressor,2.1002,7.3938,2.6493,-0.4841,0.7578,0.7295,0.26,"(3, 5, 6)",trunk,3
Least Angle Regression,2.8069,14.8691,3.6394,-2.073,0.885,1.1989,0.241,"(3, 5, 6)",trunk,3
Extra Trees Regressor,1.4383,3.4945,1.8657,0.348,0.5882,0.4755,0.264,"(3, 5, 8)",trunk,3
Random Forest Regressor,1.4992,3.7689,1.9378,0.2965,0.6041,0.4938,0.374,"(3, 5, 8)",trunk,3
Light Gradient Boosting Machine,1.5066,3.8923,1.9699,0.2714,0.6068,0.5147,0.221,"(3, 5, 8)",trunk,3
Gradient Boosting Regressor,1.6119,4.2595,2.0614,0.2052,0.64,0.5305,0.283,"(3, 5, 8)",trunk,3
Linear Regression,1.8529,5.2268,2.2822,0.0297,0.6995,0.6274,0.215,"(3, 5, 8)",trunk,3
Huber Regressor,1.8538,5.3835,2.315,0.0027,0.6884,0.5954,0.223,"(3, 5, 8)",trunk,3
Ridge Regression,1.8788,5.2944,2.2966,0.018,0.7058,0.6462,0.209,"(3, 5, 8)",trunk,3
Bayesian Ridge,1.8798,5.2977,2.2973,0.0174,0.7061,0.6466,0.195,"(3, 5, 8)",trunk,3
Orthogonal Matching Pursuit,1.9199,5.4462,2.3299,-0.0112,0.7148,0.6709,0.223,"(3, 5, 8)",trunk,3
Elastic Net,1.9221,5.4541,2.3318,-0.013,0.7155,0.6726,0.194,"(3, 5, 8)",trunk,3
Lasso Least Angle Regression,1.9221,5.4541,2.3318,-0.013,0.7155,0.6726,0.212,"(3, 5, 8)",trunk,3
Lasso Regression,1.9221,5.4541,2.3318,-0.013,0.7155,0.6726,0.203,"(3, 5, 8)",trunk,3
Dummy Regressor,1.9221,5.4541,2.3318,-0.013,0.7155,0.6726,0.207,"(3, 5, 8)",trunk,3
K Neighbors Regressor,1.9566,5.8788,2.4197,-0.0935,0.7269,0.6962,0.217,"(3, 5, 8)",trunk,3
AdaBoost Regressor,1.963,5.4378,2.3302,-0.0163,0.7522,0.7734,0.212,"(3, 5, 8)",trunk,3
Decision Tree Regressor,1.9744,7.7401,2.7797,-0.4481,0.8146,0.7402,0.211,"(3, 5, 8)",trunk,3
Passive Aggressive Regressor,2.3672,8.474,2.8247,-0.5437,0.8395,0.9676,0.201,"(3, 5, 8)",trunk,3
Least Angle Regression,2.6887,12.8692,3.4448,-1.3804,0.859,1.0183,0.205,"(3, 5, 8)",trunk,3
Extra Trees Regressor,1.3434,3.2685,1.805,0.3929,0.5692,0.4245,0.266,"(3, 5, 9)",trunk,3
Light Gradient Boosting Machine,1.3946,3.4946,1.865,0.3518,0.5808,0.4714,0.227,"(3, 5, 9)",trunk,3
Random Forest Regressor,1.4002,3.4944,1.865,0.3529,0.5861,0.4473,0.328,"(3, 5, 9)",trunk,3
Gradient Boosting Regressor,1.4771,3.7465,1.931,0.3058,0.6073,0.4715,0.291,"(3, 5, 9)",trunk,3
Decision Tree Regressor,1.7649,6.8205,2.6047,-0.2653,0.777,0.6238,0.195,"(3, 5, 9)",trunk,3
Huber Regressor,1.7862,5.2163,2.28,0.0334,0.6727,0.5795,0.199,"(3, 5, 9)",trunk,3
Linear Regression,1.8102,5.0655,2.2469,0.0613,0.6879,0.6292,0.194,"(3, 5, 9)",trunk,3
Bayesian Ridge,1.816,5.1012,2.2555,0.0538,0.6897,0.631,0.193,"(3, 5, 9)",trunk,3
Ridge Regression,1.8161,5.0982,2.2549,0.0544,0.6897,0.6318,0.19,"(3, 5, 9)",trunk,3
AdaBoost Regressor,1.8267,4.8925,2.2092,0.091,0.7179,0.7139,0.222,"(3, 5, 9)",trunk,3
K Neighbors Regressor,1.8886,5.7246,2.3893,-0.0628,0.7106,0.6897,0.187,"(3, 5, 9)",trunk,3
Orthogonal Matching Pursuit,1.8899,5.3824,2.3172,0.0015,0.7069,0.6813,0.196,"(3, 5, 9)",trunk,3
Elastic Net,1.9005,5.3985,2.3205,-0.0012,0.7083,0.6894,0.191,"(3, 5, 9)",trunk,3
Lasso Regression,1.9134,5.4383,2.329,-0.0085,0.7106,0.6986,0.195,"(3, 5, 9)",trunk,3
Lasso Least Angle Regression,1.9134,5.4383,2.329,-0.0085,0.7106,0.6986,0.195,"(3, 5, 9)",trunk,3
Dummy Regressor,1.9135,5.4384,2.3291,-0.0085,0.7106,0.6986,0.202,"(3, 5, 9)",trunk,3
Passive Aggressive Regressor,3.0577,14.1781,3.6091,-1.6375,0.9449,1.4737,0.194,"(3, 5, 9)",trunk,3
Least Angle Regression,3.4403,28.6354,4.5386,-4.4143,0.9126,1.5564,0.191,"(3, 5, 9)",trunk,3
Extra Trees Regressor,1.4876,3.7707,1.938,0.353,0.6014,0.4771,0.263,"(3, 5, 10)",trunk,3
Random Forest Regressor,1.5118,3.992,1.9942,0.3157,0.612,0.4829,0.343,"(3, 5, 10)",trunk,3
Light Gradient Boosting Machine,1.5187,4.0289,2.0039,0.3085,0.6104,0.5136,0.24,"(3, 5, 10)",trunk,3
Gradient Boosting Regressor,1.621,4.3415,2.0807,0.256,0.6338,0.525,0.318,"(3, 5, 10)",trunk,3
Huber Regressor,1.8756,5.5315,2.3481,0.0552,0.6927,0.5989,0.2,"(3, 5, 10)",trunk,3
Linear Regression,1.8766,5.3454,2.3093,0.0853,0.7027,0.6381,0.193,"(3, 5, 10)",trunk,3
Bayesian Ridge,1.8986,5.4331,2.3276,0.0713,0.7083,0.6427,0.199,"(3, 5, 10)",trunk,3
Ridge Regression,1.9022,5.4398,2.3291,0.0701,0.7092,0.6445,0.202,"(3, 5, 10)",trunk,3
K Neighbors Regressor,1.9627,6.0204,2.4511,-0.0315,0.7265,0.6804,0.192,"(3, 5, 10)",trunk,3
Decision Tree Regressor,1.9808,7.8361,2.794,-0.3531,0.8233,0.7126,0.194,"(3, 5, 10)",trunk,3
Orthogonal Matching Pursuit,2.0127,5.8472,2.4149,0.0003,0.7321,0.7138,0.199,"(3, 5, 10)",trunk,3
Elastic Net,2.0223,5.8675,2.419,-0.0029,0.7338,0.7268,0.196,"(3, 5, 10)",trunk,3
Lasso Regression,2.0278,5.8826,2.4221,-0.0055,0.7346,0.7322,0.204,"(3, 5, 10)",trunk,3
Lasso Least Angle Regression,2.0278,5.8826,2.4221,-0.0055,0.7346,0.7322,0.191,"(3, 5, 10)",trunk,3
Dummy Regressor,2.0278,5.8826,2.4221,-0.0055,0.7346,0.7322,0.232,"(3, 5, 10)",trunk,3
AdaBoost Regressor,2.0512,5.7632,2.3961,0.016,0.7675,0.8316,0.259,"(3, 5, 10)",trunk,3
Passive Aggressive Regressor,4.5792,31.9627,5.1627,-4.4957,1.1129,2.157,0.192,"(3, 5, 10)",trunk,3
Least Angle Regression,141.7463,359263.0427,195.7414,-61894.5011,1.5063,73.8296,0.194,"(3, 5, 10)",trunk,3
Extra Trees Regressor,1.4069,3.4336,1.8509,0.3898,0.5793,0.4829,0.293,"(3, 5, 12)",trunk,3
Light Gradient Boosting Machine,1.4937,3.9286,1.9793,0.3039,0.6062,0.5351,0.26,"(3, 5, 12)",trunk,3
Random Forest Regressor,1.5105,3.8898,1.969,0.3108,0.608,0.5216,0.383,"(3, 5, 12)",trunk,3
Gradient Boosting Regressor,1.5688,4.086,2.0165,0.278,0.6224,0.5466,0.315,"(3, 5, 12)",trunk,3
Huber Regressor,1.8379,5.4805,2.3381,0.0303,0.6778,0.6105,0.22,"(3, 5, 12)",trunk,3
Linear Regression,1.8642,5.3409,2.3082,0.0542,0.6966,0.6773,0.212,"(3, 5, 12)",trunk,3
Ridge Regression,1.8732,5.3432,2.3095,0.0527,0.6997,0.6823,0.217,"(3, 5, 12)",trunk,3
Bayesian Ridge,1.8733,5.3445,2.3098,0.0525,0.6997,0.6822,0.218,"(3, 5, 12)",trunk,3
K Neighbors Regressor,1.9279,5.9099,2.4274,-0.0467,0.7207,0.7169,0.199,"(3, 5, 12)",trunk,3
Orthogonal Matching Pursuit,1.9458,5.6693,2.3787,-0.0038,0.7166,0.7277,0.199,"(3, 5, 12)",trunk,3
Elastic Net,1.9554,5.6851,2.382,-0.0066,0.7178,0.7352,0.237,"(3, 5, 12)",trunk,3
Lasso Regression,1.956,5.6868,2.3824,-0.0069,0.7179,0.7358,0.22,"(3, 5, 12)",trunk,3
Lasso Least Angle Regression,1.956,5.6868,2.3824,-0.0069,0.7179,0.7358,0.228,"(3, 5, 12)",trunk,3
Dummy Regressor,1.956,5.6868,2.3824,-0.0069,0.7179,0.7358,0.209,"(3, 5, 12)",trunk,3
AdaBoost Regressor,1.9881,5.5005,2.3438,0.0223,0.7526,0.8506,0.216,"(3, 5, 12)",trunk,3
Decision Tree Regressor,2.0094,8.0887,2.8362,-0.4485,0.8309,0.7836,0.224,"(3, 5, 12)",trunk,3
Passive Aggressive Regressor,3.2387,15.433,3.7708,-1.77,0.9782,1.654,0.198,"(3, 5, 12)",trunk,3
Least Angle Regression,153.3759,250230.2047,205.2353,-51353.7469,1.8729,68.849,0.207,"(3, 5, 12)",trunk,3
Extra Trees Regressor,1.3095,3.0437,1.7411,0.4039,0.5525,0.436,0.281,"(3, 5, 13)",trunk,3
Random Forest Regressor,1.3689,3.323,1.8191,0.3506,0.5719,0.4524,0.382,"(3, 5, 13)",trunk,3
Light Gradient Boosting Machine,1.407,3.5074,1.8701,0.3117,0.5812,0.4853,0.237,"(3, 5, 13)",trunk,3
Gradient Boosting Regressor,1.4647,3.6787,1.917,0.2772,0.5999,0.4885,0.319,"(3, 5, 13)",trunk,3
Huber Regressor,1.7434,4.9561,2.2243,0.0287,0.6612,0.5763,0.229,"(3, 5, 13)",trunk,3
Linear Regression,1.7436,4.7457,2.1763,0.0701,0.6722,0.6221,0.22,"(3, 5, 13)",trunk,3
Bayesian Ridge,1.7698,4.8263,2.1952,0.0539,0.6765,0.6342,0.214,"(3, 5, 13)",trunk,3
Ridge Regression,1.77,4.8258,2.1951,0.054,0.6767,0.6349,0.22,"(3, 5, 13)",trunk,3
Decision Tree Regressor,1.8159,7.0317,2.6458,-0.3842,0.7724,0.6957,0.223,"(3, 5, 13)",trunk,3
AdaBoost Regressor,1.8466,4.9075,2.2135,0.0373,0.7215,0.7724,0.22,"(3, 5, 13)",trunk,3
Orthogonal Matching Pursuit,1.8488,5.1084,2.2582,-0.0006,0.6936,0.6867,0.206,"(3, 5, 13)",trunk,3
Elastic Net,1.8594,5.1264,2.2624,-0.0045,0.6951,0.6946,0.23,"(3, 5, 13)",trunk,3
Lasso Regression,1.8614,5.129,2.263,-0.0051,0.6953,0.6961,0.204,"(3, 5, 13)",trunk,3
Lasso Least Angle Regression,1.8614,5.129,2.263,-0.0051,0.6953,0.6961,0.202,"(3, 5, 13)",trunk,3
Dummy Regressor,1.8614,5.129,2.263,-0.0051,0.6953,0.6961,0.237,"(3, 5, 13)",trunk,3
K Neighbors Regressor,1.8722,5.4506,2.3327,-0.0702,0.7039,0.7131,0.205,"(3, 5, 13)",trunk,3
Passive Aggressive Regressor,2.4883,9.7397,2.9702,-0.9273,0.8445,1.1378,0.238,"(3, 5, 13)",trunk,3
Least Angle Regression,5.3037,144.4071,7.5305,-28.242,1.0024,2.6023,0.191,"(3, 5, 13)",trunk,3
Extra Trees Regressor,1.347,3.2254,1.7896,0.4076,0.5627,0.4383,0.283,"(3, 5, 15)",trunk,3
Light Gradient Boosting Machine,1.3999,3.4386,1.8493,0.3673,0.5765,0.4748,0.256,"(3, 5, 15)",trunk,3
Random Forest Regressor,1.4025,3.475,1.8592,0.3602,0.5783,0.4664,0.358,"(3, 5, 15)",trunk,3
Gradient Boosting Regressor,1.4868,3.8091,1.9462,0.2988,0.6047,0.4874,0.298,"(3, 5, 15)",trunk,3
Decision Tree Regressor,1.7702,6.5984,2.5563,-0.2154,0.7507,0.6867,0.217,"(3, 5, 15)",trunk,3
Huber Regressor,1.7792,5.1774,2.2723,0.047,0.6693,0.5863,0.238,"(3, 5, 15)",trunk,3
Linear Regression,1.7971,5.0913,2.2541,0.0614,0.6857,0.6354,0.218,"(3, 5, 15)",trunk,3
Bayesian Ridge,1.8026,5.1066,2.2571,0.0593,0.6844,0.6355,0.216,"(3, 5, 15)",trunk,3
Ridge Regression,1.8047,5.1074,2.2573,0.0591,0.6847,0.6376,0.227,"(3, 5, 15)",trunk,3
AdaBoost Regressor,1.8585,5.0412,2.2419,0.0698,0.7195,0.7526,0.229,"(3, 5, 15)",trunk,3
K Neighbors Regressor,1.9069,5.7784,2.4016,-0.0663,0.7119,0.7063,0.209,"(3, 5, 15)",trunk,3
Orthogonal Matching Pursuit,1.9083,5.4671,2.336,-0.0072,0.7043,0.7077,0.208,"(3, 5, 15)",trunk,3
Lasso Regression,1.9132,5.4694,2.3365,-0.0076,0.7046,0.7126,0.209,"(3, 5, 15)",trunk,3
Elastic Net,1.9132,5.4694,2.3365,-0.0076,0.7046,0.7126,0.209,"(3, 5, 15)",trunk,3
Lasso Least Angle Regression,1.9132,5.4694,2.3365,-0.0076,0.7046,0.7126,0.23,"(3, 5, 15)",trunk,3
Dummy Regressor,1.9132,5.4694,2.3365,-0.0076,0.7046,0.7126,0.211,"(3, 5, 15)",trunk,3
Passive Aggressive Regressor,2.6406,11.2786,3.3033,-1.0833,0.9017,1.0471,0.249,"(3, 5, 15)",trunk,3
Least Angle Regression,3.8558,29.4413,5.1562,-4.5525,0.9549,1.7373,0.209,"(3, 5, 15)",trunk,3
Extra Trees Regressor,1.3788,3.2308,1.7958,0.3894,0.5713,0.4735,0.278,"(3, 5, 16)",trunk,3
Light Gradient Boosting Machine,1.3861,3.316,1.8184,0.3733,0.5687,0.4967,0.221,"(3, 5, 16)",trunk,3
Random Forest Regressor,1.4179,3.4079,1.8446,0.3553,0.5784,0.4864,0.359,"(3, 5, 16)",trunk,3
Gradient Boosting Regressor,1.4845,3.636,1.9051,0.3126,0.5964,0.5151,0.308,"(3, 5, 16)",trunk,3
Decision Tree Regressor,1.7612,6.3631,2.5165,-0.2038,0.7508,0.689,0.225,"(3, 5, 16)",trunk,3
Huber Regressor,1.7865,5.0795,2.2527,0.0399,0.6698,0.6027,0.209,"(3, 5, 16)",trunk,3
Linear Regression,1.7981,4.912,2.2152,0.0711,0.6798,0.654,0.236,"(3, 5, 16)",trunk,3
Bayesian Ridge,1.809,4.9749,2.2298,0.0589,0.6831,0.6538,0.235,"(3, 5, 16)",trunk,3
Ridge Regression,1.8091,4.9718,2.2292,0.0594,0.6829,0.654,0.255,"(3, 5, 16)",trunk,3
AdaBoost Regressor,1.844,4.8687,2.2054,0.0768,0.7147,0.7534,0.231,"(3, 5, 16)",trunk,3
K Neighbors Regressor,1.8801,5.5219,2.3488,-0.045,0.697,0.7086,0.218,"(3, 5, 16)",trunk,3
Orthogonal Matching Pursuit,1.9089,5.3313,2.3085,-0.008,0.7029,0.7143,0.197,"(3, 5, 16)",trunk,3
Lasso Regression,1.9169,5.3425,2.3109,-0.01,0.7042,0.7206,0.253,"(3, 5, 16)",trunk,3
Lasso Least Angle Regression,1.9169,5.3425,2.3109,-0.01,0.7042,0.7206,0.214,"(3, 5, 16)",trunk,3
Dummy Regressor,1.9169,5.3425,2.3109,-0.01,0.7042,0.7206,0.213,"(3, 5, 16)",trunk,3
Elastic Net,1.9172,5.3437,2.3111,-0.0103,0.7042,0.7208,0.197,"(3, 5, 16)",trunk,3
Passive Aggressive Regressor,2.1747,7.9913,2.786,-0.5056,0.8046,0.7935,0.197,"(3, 5, 16)",trunk,3
Least Angle Regression,4.0544,37.0134,5.2727,-5.9322,0.9765,1.8392,0.207,"(3, 5, 16)",trunk,3
Extra Trees Regressor,1.4336,3.5678,1.8857,0.3692,0.5862,0.4738,0.264,"(3, 5, 17)",trunk,3
Random Forest Regressor,1.4665,3.7657,1.9366,0.336,0.5948,0.4842,0.361,"(3, 5, 17)",trunk,3
Light Gradient Boosting Machine,1.4816,3.8083,1.9472,0.3275,0.5973,0.5133,0.238,"(3, 5, 17)",trunk,3
Gradient Boosting Regressor,1.5518,4.0151,1.9992,0.2928,0.6211,0.5136,0.293,"(3, 5, 17)",trunk,3
Linear Regression,1.8469,5.2214,2.283,0.0779,0.6941,0.6418,0.229,"(3, 5, 17)",trunk,3
Huber Regressor,1.8489,5.4178,2.3252,0.0438,0.6841,0.5974,0.22,"(3, 5, 17)",trunk,3
Decision Tree Regressor,1.8494,7.0256,2.6462,-0.2461,0.788,0.6604,0.219,"(3, 5, 17)",trunk,3
Ridge Regression,1.8763,5.3289,2.3059,0.0597,0.7011,0.6517,0.196,"(3, 5, 17)",trunk,3
Bayesian Ridge,1.8766,5.3317,2.3065,0.0592,0.7011,0.6516,0.23,"(3, 5, 17)",trunk,3
K Neighbors Regressor,1.8935,5.6736,2.3781,-0.0005,0.7071,0.6778,0.222,"(3, 5, 17)",trunk,3
AdaBoost Regressor,1.9435,5.3819,2.3178,0.0488,0.7428,0.7791,0.243,"(3, 5, 17)",trunk,3
Orthogonal Matching Pursuit,1.9643,5.6962,2.3837,-0.0038,0.7208,0.7064,0.2,"(3, 5, 17)",trunk,3
Lasso Regression,1.9705,5.7047,2.3855,-0.0053,0.7216,0.7135,0.211,"(3, 5, 17)",trunk,3
Lasso Least Angle Regression,1.9705,5.7047,2.3855,-0.0053,0.7216,0.7135,0.208,"(3, 5, 17)",trunk,3
Dummy Regressor,1.9705,5.7047,2.3855,-0.0053,0.7216,0.7135,0.2,"(3, 5, 17)",trunk,3
Elastic Net,1.9706,5.7053,2.3856,-0.0054,0.7216,0.7135,0.233,"(3, 5, 17)",trunk,3
Passive Aggressive Regressor,2.2731,8.874,2.8716,-0.5013,0.788,0.8244,0.218,"(3, 5, 17)",trunk,3
Least Angle Regression,2.8828,13.9303,3.7078,-1.461,0.9148,1.1617,0.228,"(3, 5, 17)",trunk,3
Extra Trees Regressor,1.3403,3.0332,1.7383,0.3938,0.5669,0.4698,0.277,"(3, 6, 8)",trunk,3
Light Gradient Boosting Machine,1.3897,3.3055,1.8164,0.3381,0.5804,0.4955,0.246,"(3, 6, 8)",trunk,3
Random Forest Regressor,1.4086,3.3396,1.8249,0.332,0.5894,0.4892,0.389,"(3, 6, 8)",trunk,3
Gradient Boosting Regressor,1.4977,3.6429,1.9062,0.271,0.6134,0.5152,0.314,"(3, 6, 8)",trunk,3
Linear Regression,1.7504,4.6825,2.1615,0.0652,0.6903,0.6078,0.208,"(3, 6, 8)",trunk,3
Huber Regressor,1.7598,4.8759,2.2051,0.0279,0.6829,0.5731,0.227,"(3, 6, 8)",trunk,3
Bayesian Ridge,1.7854,4.7856,2.185,0.0449,0.6987,0.6194,0.213,"(3, 6, 8)",trunk,3
Ridge Regression,1.7866,4.7884,2.1856,0.0444,0.699,0.6201,0.228,"(3, 6, 8)",trunk,3
K Neighbors Regressor,1.8409,5.4106,2.3245,-0.0824,0.7252,0.6433,0.221,"(3, 6, 8)",trunk,3
Orthogonal Matching Pursuit,1.8454,4.9974,2.2327,0.0036,0.713,0.6556,0.227,"(3, 6, 8)",trunk,3
Elastic Net,1.858,5.0161,2.2368,0.0001,0.7158,0.6596,0.222,"(3, 6, 8)",trunk,3
Decision Tree Regressor,1.8645,6.8529,2.6143,-0.382,0.7903,0.7393,0.218,"(3, 6, 8)",trunk,3
Lasso Regression,1.8702,5.0562,2.2457,-0.0077,0.7191,0.6642,0.21,"(3, 6, 8)",trunk,3
Lasso Least Angle Regression,1.8702,5.0562,2.2457,-0.0077,0.7191,0.6642,0.236,"(3, 6, 8)",trunk,3
Dummy Regressor,1.8703,5.0563,2.2457,-0.0077,0.7191,0.6642,0.22,"(3, 6, 8)",trunk,3
AdaBoost Regressor,1.9458,5.1719,2.2732,-0.0368,0.7699,0.8023,0.215,"(3, 6, 8)",trunk,3
Passive Aggressive Regressor,2.3766,8.9342,2.9434,-0.82,0.8691,0.9316,0.219,"(3, 6, 8)",trunk,3
Least Angle Regression,351.7203,1338265.6946,530.8613,-299357.2985,2.4905,162.0653,0.217,"(3, 6, 8)",trunk,3
Extra Trees Regressor,1.2379,2.7373,1.6478,0.3912,0.5529,0.4338,0.257,"(3, 6, 9)",trunk,3
Light Gradient Boosting Machine,1.2596,2.9035,1.6972,0.3545,0.5647,0.4653,0.248,"(3, 6, 9)",trunk,3
Random Forest Regressor,1.2827,2.9077,1.6985,0.353,0.5671,0.45,0.359,"(3, 6, 9)",trunk,3
Gradient Boosting Regressor,1.3594,3.2998,1.8089,0.2663,0.594,0.4654,0.299,"(3, 6, 9)",trunk,3
